venue_name,venue_type,address,city,phone,website,fish,price_low,price_high,sides,hours,all_you_can_eat,takeout,tier,description,photo_url,menu_url,featured_this_week,editor_note,active
Coral Lanes,bar,1025 E Grand Ave,Rothschild,715-359-5300,https://corallanes.net/,cod,10,20,,Fri 11AM-12AM,FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. Bowling center with full bar & grill; Friday Fish Fry listed. On the Wausau Friday Fish Fry Guide with matching address/phone. Closed Sun/Mon. Species and price not published.,FALSE
Crafties,bar,4103 Schofield Ave,Weston,715-298-6800,https://www.facebook.com/p/Crafties-Bar-61561834626657/,cod,10,20,,Fri 11AM-11PM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. Recently opened craft beer bar - the taproom category the Lenten guide misses. Food appears limited to pizza and snacks, so a traditional fry is unlikely. The one 'best fish fry' claim found is aggregator boilerplate, not a real source.",FALSE
Dale's Weston Lanes,bar,5902 Schofield Ave,Weston,715-359-8488,https://westonlanes.com/,cod,10,20,,Fri 3PM-11PM,FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. 60-lane bowling center; in-house Northwoods Bar & Grill runs 'Fish Fry Fridays'. Owner is a Marathon County Tavern League board member. Species/price not published (seasonal PDF menus only). Strong sponsor prospect.,FALSE
Down the Hill Bar,bar,1903 Cutoff Rd,Schofield,715-359-2729,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. Small neighborhood dive with three free pool tables. No food documented. Classic no-web-presence profile - the category most likely to hide an unlisted fry.,FALSE
Edwin Memorial Lanes,restaurant,206423 County Road M,Stratford,715-384-9972,,cod,10,20,,Fri 11AM-2AM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. Also EML / EML Rozellville - physically in Rozellville, Town of Day, Marathon County, Stratford mailing address. TIED FOR BEST FISH FRY IN MARATHON COUNTY in a WAOW viewers' poll (with Cassel Bar & Grill, already in the guide). Fish fry with choice of potato incl. potato pancakes, slaw, roll; 1pc $8, 2pc $9 (older pricing). ADDRESS CONFLICT: WAOW/Visit Marshfield give 206423 Hwy M, Yelp gives D3292 County Road M - verify.",FALSE
Greenwood Hills Country Club,restaurant,2002 Poplar Ln,Wausau,715-848-2204,https://greenwoodhillscc.com/,cod,10,20,,Fri 4PM-9PM,FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. Club's own Mulligan's Lounge menu lists '4-9 pm Friday Fish Fry & Dinner Feature'. Tripadvisor reviewers say the clubhouse restaurant is open to the public - CONFIRM PUBLIC ACCESS by phone before publishing. Species not published.,FALSE
Hutch's Sports Bar,bar,4411 Stewart Ave,Wausau,715-841-0020,,"perch, cod",10,20,,Fri 11AM-2AM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. West-side tavern with outdoor volleyball, pool, darts, karaoke. Friday fry described as cod and perch baskets. Directory source only - confirm species, price, window. Not on any Lenten guide, a genuine gap.",FALSE
Indianhead Golf Course,restaurant,966 Indianhead Dr,Mosinee,715-693-6066,https://www.indianheadgolfcourse.com/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. LEAD. Public course with clubhouse bar, dining room, banquet facilities. Menu page advertises daily specials but names no fish fry. Kitchen to 9PM Mon-Fri.",FALSE
Jim's Corner Pub,bar,1244 S 9th Ave,Wausau,715-842-3007,,cod,10,20,,Fri 11AM-2:30AM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. South-side neighborhood bar, CASH ONLY. Has a kitchen - wings and a Mushroom Swiss burger - so a Friday fry is plausible. Absent from every fish fry guide checked.",FALSE
Kegler's Kove Lanes & Lounge,restaurant,305 N 3rd Ave,Stratford,715-687-3531,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. LEAD. In-village Stratford bowling center with a lounge, distinct from Edwin Memorial Lanes out on County M. No online presence - verify it is still open. NOTE: shares an address with The Cellar Sports Bar (305 N 3rd Ave) - may be the same building.",FALSE
Kraft Lanes,restaurant,105 Alfred St,Athens,715-257-7151,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. LEAD. Bowling center in Athens. Directory listing only; no menu, website or fish fry evidence. VERIFY IT IS STILL OPERATING before calling.",FALSE
Loppnow's Sports Bar,bar,1502 N 3rd St,Wausau,715-842-3544,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. Established 1981, bills itself as Wausau's oldest sports bar, in a restored turn-of-the-century building - excellent description material if it runs a fry. Some listings show suite 1504.",FALSE
M & R Station,bar,818 S 3rd Ave,Wausau,715-298-5995,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. Classified as a bar & grill so food is served. Two blocks from Christine's on the same south-side stretch. No menu or hours found.,FALSE
Malarkey's Pub & Townies Grill,bar,408 N 3rd St,Wausau,715-819-3663,http://www.malarkeyspub.com/,cod,10,20,,Fri 4PM-2AM,FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. Downtown pub with a 'Friday Fish Specials' menu section and a 'Poor Man's Slopster' for fish fry Fridays. Own site does not name the fry or species. Closed Mon-Tue. Hosts the separate Mumble Wrap concept in-house - ask which kitchen runs the fry.,FALSE
Merrill Golf Club,restaurant,1604 O'Day St,Merrill,715-536-2529,https://www.merrillgolfclub.com/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. OUTSIDE MARATHON COUNTY (Lincoln). LEAD. Municipal public course with full-service clubhouse bar and grill; no fish fry found on their site. Public golf clubhouses in this region commonly run one - worth a call.,FALSE
Mosinee Memorial VFW Post 8280,vfw_legion,3332 State Highway 153,Kronenwetter,715-693-1775,https://vfw8280.org/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. Locally the Peplin VFW. SPLIT IDENTITY: Google Maps and the post name say Mosinee (54455) but the post's own site gives the municipality as Kronenwetter - geocode carefully. Office hours Tuesdays 1-6PM only; hall rented for events. A Google review praises the food at their fall muster. No Friday fry or regular public meal found.,FALSE
Moua's Callon Street Pub,bar,209 Callon St,Wausau,715-298-1902,https://www.facebook.com/p/Mouas-Callon-Street-Pub-100083096573590/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. HIGH-VALUE CALL. Hmong-owned neighborhood pub opened within about the last three years. No food menu published. NOT the same as Kluck's Callon Saloon despite the shared street name.,FALSE
North End Pub,bar,1002 N 3rd Ave,Wausau,715-675-3870,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. North-side neighborhood bar with local entertainment. No food service documented.,FALSE
Otto H. Kops American Legion Post 358,vfw_legion,233 W 2nd St,Unity,715-223-5061,https://www.unityhappenings.com/legion.html,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. OUTSIDE MARATHON COUNTY (Clark). The only western-towns Legion post that owns its own hall, rented for showers, weddings, meetings. But no fish fry anywhere on its page or calendar - its recurring public meal is six pancake breakfasts a year, Oct-Mar. One call is worth it, but evidence points to no.",FALSE
Pagel's Pub & Grub,bar,139302 County Rd L,Athens,,,cod,10,20,,Fri 3PM-2:30AM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. Yelp indicates fish fry. PHONE BLANK: the only number found (715-536-6111) is a Merrill exchange, not Athens' 715-257, so it is likely a bad record.",FALSE
Paper City Lanes,restaurant,309 3rd St,Mosinee,715-693-3387,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. WEAK LEAD. 8-lane bowling center with a kitchen, but food described is specialty pizza, fried pickles and cheese curds - no fish fry surfaced. Lowest priority.",FALSE
Pine Valley Golf Course,restaurant,301 136th Ave,Marathon City,715-443-2848,https://www.golfpinevalley.net/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. LEAD. Clubhouse restaurant explicitly open to the public, lunch and dinner Mon-Fri 11AM-9PM - right shape for a Friday fry but none advertised. Do not use pinevalleygolfcc.com, that is a different course in Michigan.",FALSE
Silver Birch Supper Club,supper_club,W6009 Taylor Ln,Tomahawk,,,"perch, cod",10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. OUTSIDE MARATHON COUNTY (Lincoln). OUT OF CORE AREA - Tomahawk is ~50 miles from Wausau. Classic lakefront supper club on Half Moon Lake; Friday fry is fried cod, jumbo perch, and poor man's lobster. Phone not sourced, left blank.",FALSE
Stratford Memorial VFW Post 6352,vfw_legion,403 N Weber Ave,Stratford,715-687-3114,https://www.facebook.com/kar4vets/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. Address and phone corroborated on Google Maps (4.9, 11 reviews). Real clubhouse with bar canteen and hall rentals. Runs recurring PUBLIC meals - Facebook advertises steak feeds 4:30-8PM and reviews praise steak feeds and pancake breakfasts. No fish fry documented, but strongest in-county profile of a hall that could be running one unadvertised.",FALSE
The Jim,bar,3012 Schofield Ave,Weston,715-355-5960,https://www.facebook.com/p/The-Jim-100063770551347/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. Neighborhood tavern on the Schofield Ave corridor. Owner sits on the Marathon County Tavern League board so the venue is reachable. CITY AMBIGUOUS: filed under both Weston and Schofield.,FALSE
The Office Bar,bar,662 Grand Ave,Schofield,715-355-5432,https://www.facebook.com/TheOfficeSchofield/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. Schofield neighborhood bar, #2 of 13 on Tripadvisor nightlife. Sunday Bloody Mary bar, live music, Harley events. No kitchen documented - may be drinks-only.",FALSE
Wallace-Hinker-Brux American Legion Post 238,vfw_legion,108 S Main St,Greenwood,715-267-7441,,cod,10,20,,Fri 4PM-7PM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. OUTSIDE MARATHON COUNTY (Clark). MONTHLY, not weekly. City of Greenwood lists the post as a dining establishment. Facebook advertises 'our monthly fish fry' on single Fridays 4-7PM. Species never named. Far outside the footprint.",FALSE
Wittenberg Lanes,restaurant,407 S Howard St,Wittenberg,715-253-2605,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. OUTSIDE MARATHON COUNTY (Shawano). 8-lane small-town bowling center with full kitchen and bar; Friday Fish Fry confirmed. Formerly Resch Lanes / T&C Lanes / L.A. Lanes at the same address. Facebook is the only web presence.,FALSE
